//Enregistrements de dessins et modèles industriels par office,
"//par résident direct, non-résident direct et système de la Haye",
//Source : base de données statistiques de l’OMPI, décembre 2011
//Note: Des données peuvent manquer pour certains offices ou pour certaines années.,

Année,Nom'Office,Code'Office,Type'enregistrant,Nombre'enregistrements
1901,"Belgique","BE","Directs_globaux",201
1901,"Canada","CA","Directs_globaux",146
1901,"France","FR","Directs_globaux",51629
1901,"Allemagne","DE","Directs_globaux",135994
1901,"Italie","IT","Directs_globaux",26
1901,"Japon","JP","Directs_globaux",141
1901,"Nouvelle-Zélande","NZ","Directs_globaux",18
1901,"Portugal","PT","Directs_globaux",20
1901,"Suède","SE","Directs_globaux",20
1901,"Suisse","CH","Directs_globaux",107279
1901,"Royaume-Uni","GB","Directs_globaux",16217
1901,"États-Unis d'Amérique","US","Directs_globaux",1729
1902,"Autriche","AT","Directs_globaux",13034
1902,"Belgique","BE","Directs_globaux",212
1902,"Canada","CA","Directs_globaux",164
1902,"France","FR","Directs_globaux",58982
1902,"Allemagne","DE","Directs_globaux",160764
1902,"Hongrie","HU","Directs_globaux",1037
1902,"Italie","IT","Directs_globaux",55
1902,"Japon","JP","Directs_globaux",252
1902,"Mexique","MX","Directs_globaux",3
1902,"Nouvelle-Zélande","NZ","Directs_globaux",28
1902,"Portugal","PT","Directs_globaux",18
1902,"Espagne","ES","Directs_globaux",98
1902,"Suède","SE","Directs_globaux",10
1902,"Suisse","CH","Résident_direct",149335
1902,"Suisse","CH","NonRésident_direct",526
1902,"Royaume-Uni","GB","Directs_globaux",17106
1902,"États-Unis d'Amérique","US","Directs_globaux",639
1903,"Autriche","AT","Directs_globaux",15942
1903,"Belgique","BE","Directs_globaux",215
1903,"Canada","CA","Directs_globaux",88
1903,"France","FR","Directs_globaux",63307
1903,"Allemagne","DE","Directs_globaux",171461
1903,"Hongrie","HU","Directs_globaux",1405
1903,"Italie","IT","Directs_globaux",130
1903,"Japon","JP","Directs_globaux",362
1903,"Mexique","MX","Directs_globaux",4
1903,"Nouvelle-Zélande","NZ","Directs_globaux",26
1903,"Portugal","PT","Directs_globaux",25
1903,"Espagne","ES","Directs_globaux",99
1903,"Suède","SE","Directs_globaux",43
1903,"Suisse","CH","Résident_direct",225824
1903,"Suisse","CH","NonRésident_direct",661
1903,"Tunisie","TN","Directs_globaux",1
1903,"Royaume-Uni","GB","Directs_globaux",20426
1903,"États-Unis d'Amérique","US","Directs_globaux",536
1904,"Autriche","AT","Directs_globaux",17113
1904,"Belgique","BE","Directs_globaux",210
1904,"Canada","CA","Directs_globaux",107
1904,"Cuba","CU","Directs_globaux",6
1904,"France","FR","Résident_direct",61283
1904,"France","FR","NonRésident_direct",2904
1904,"Allemagne","DE","Directs_globaux",192352
1904,"Hongrie","HU","Directs_globaux",1191
1904,"Italie","IT","Directs_globaux",51
1904,"Japon","JP","Directs_globaux",562
1904,"Mexique","MX","Directs_globaux",18
1904,"Nouvelle-Zélande","NZ","Directs_globaux",24
1904,"Portugal","PT","Directs_globaux",29
1904,"Espagne","ES","Directs_globaux",109
1904,"Suède","SE","Directs_globaux",26
1904,"Suisse","CH","Résident_direct",253976
1904,"Suisse","CH","NonRésident_direct",220
1904,"Royaume-Uni","GB","Directs_globaux",22604
1904,"États-Unis d'Amérique","US","Directs_globaux",553
1905,"Autriche","AT","Directs_globaux",14973
1905,"Belgique","BE","Directs_globaux",351
1905,"Canada","CA","Directs_globaux",139
1905,"Danemark","DK","Directs_globaux",422
1905,"France","FR","Directs_globaux",51200
1905,"Allemagne","DE","Directs_globaux",211398
1905,"Hongrie","HU","Directs_globaux",1245
1905,"Italie","IT","Directs_globaux",102
1905,"Japon","JP","Directs_globaux",765
1905,"Mexique","MX","Directs_globaux",66
1905,"Nouvelle-Zélande","NZ","Directs_globaux",54
1905,"Portugal","PT","Directs_globaux",15
1905,"Espagne","ES","Directs_globaux",116
1905,"Suède","SE","Directs_globaux",16
1905,"Suisse","CH","Résident_direct",241541
1905,"Suisse","CH","NonRésident_direct",700
1905,"Royaume-Uni","GB","Directs_globaux",23318
1905,"États-Unis d'Amérique","US","Directs_globaux",486
1906,"Autriche","AT","Directs_globaux",14912
1906,"Belgique","BE","Directs_globaux",222
1906,"Canada","CA","Directs_globaux",64
1906,"Danemark","DK","Directs_globaux",398
1906,"France","FR","Résident_direct",48859
1906,"France","FR","NonRésident_direct",3564
