//Industrial Design registrations by Office,
"//by direct resident, direct non-resident and designations via the Hague system",
//Source: WIPO Statistics Database, December 2011
//Note: Data are missing for some offices and years.,

Year,Office Name,Office Code,Registrant Type,Number of Registrations
1902,"Hungary","HU","Direct_Aggregate",1037
1902,"Italy","IT","Direct_Aggregate",55
1902,"Japan","JP","Direct_Aggregate",252
1902,"Mexico","MX","Direct_Aggregate",3
1902,"New Zealand","NZ","Direct_Aggregate",28
1902,"Portugal","PT","Direct_Aggregate",18
1902,"Spain","ES","Direct_Aggregate",98
1902,"Sweden","SE","Direct_Aggregate",10
1902,"Switzerland","CH","Direct_Resident",149335
1902,"Switzerland","CH","Direct_NonResident",526
1902,"United Kingdom","GB","Direct_Aggregate",17106
1902,"United States of America","US","Direct_Aggregate",639
1903,"Austria","AT","Direct_Aggregate",15942
1903,"Belgium","BE","Direct_Aggregate",215
1903,"Canada","CA","Direct_Aggregate",88
1903,"France","FR","Direct_Aggregate",63307
1903,"Germany","DE","Direct_Aggregate",171461
1903,"Hungary","HU","Direct_Aggregate",1405
1903,"Italy","IT","Direct_Aggregate",130
1903,"Japan","JP","Direct_Aggregate",362
1903,"Mexico","MX","Direct_Aggregate",4
1903,"New Zealand","NZ","Direct_Aggregate",26
1903,"Portugal","PT","Direct_Aggregate",25
1903,"Spain","ES","Direct_Aggregate",99
1903,"Sweden","SE","Direct_Aggregate",43
1903,"Switzerland","CH","Direct_Resident",225824
1903,"Switzerland","CH","Direct_NonResident",661
1903,"Tunisia","TN","Direct_Aggregate",1
1903,"United Kingdom","GB","Direct_Aggregate",20426
1903,"United States of America","US","Direct_Aggregate",536
1904,"Austria","AT","Direct_Aggregate",17113
1904,"Belgium","BE","Direct_Aggregate",210
1904,"Canada","CA","Direct_Aggregate",107
1904,"Cuba","CU","Direct_Aggregate",6
1904,"France","FR","Direct_Resident",61283
1904,"France","FR","Direct_NonResident",2904
1904,"Germany","DE","Direct_Aggregate",192352
1904,"Hungary","HU","Direct_Aggregate",1191
1904,"Italy","IT","Direct_Aggregate",51
1904,"Japan","JP","Direct_Aggregate",562
1904,"Mexico","MX","Direct_Aggregate",18
1904,"New Zealand","NZ","Direct_Aggregate",24
1904,"Portugal","PT","Direct_Aggregate",29
1904,"Spain","ES","Direct_Aggregate",109
1904,"Sweden","SE","Direct_Aggregate",26
1904,"Switzerland","CH","Direct_Resident",253976
1904,"Switzerland","CH","Direct_NonResident",220
1904,"United Kingdom","GB","Direct_Aggregate",22604
1904,"United States of America","US","Direct_Aggregate",553
1905,"Austria","AT","Direct_Aggregate",14973
1905,"Belgium","BE","Direct_Aggregate",351
1905,"Canada","CA","Direct_Aggregate",139
1905,"Denmark","DK","Direct_Aggregate",422
1905,"France","FR","Direct_Aggregate",51200
1905,"Germany","DE","Direct_Aggregate",211398
1905,"Hungary","HU","Direct_Aggregate",1245
1905,"Italy","IT","Direct_Aggregate",102
1905,"Japan","JP","Direct_Aggregate",765
1905,"Mexico","MX","Direct_Aggregate",66
1905,"New Zealand","NZ","Direct_Aggregate",54
1905,"Portugal","PT","Direct_Aggregate",15
1905,"Spain","ES","Direct_Aggregate",116
1905,"Sweden","SE","Direct_Aggregate",16
1905,"Switzerland","CH","Direct_Resident",241541
1905,"Switzerland","CH","Direct_NonResident",700
1905,"United Kingdom","GB","Direct_Aggregate",23318
1905,"United States of America","US","Direct_Aggregate",486
1906,"Austria","AT","Direct_Aggregate",14912
1906,"Belgium","BE","Direct_Aggregate",222
1906,"Canada","CA","Direct_Aggregate",64
1906,"Denmark","DK","Direct_Aggregate",398
1906,"France","FR","Direct_Resident",48859
1906,"France","FR","Direct_NonResident",3564
1906,"Germany","DE","Direct_Aggregate",213304
1906,"Hungary","HU","Direct_Aggregate",2051
1906,"Italy","IT","Direct_Aggregate",105
1906,"Japan","JP","Direct_Aggregate",666
1906,"Mexico","MX","Direct_Aggregate",27
1906,"New Zealand","NZ","Direct_Aggregate",36
1906,"Portugal","PT","Direct_Aggregate",10
1906,"Spain","ES","Direct_Aggregate",99
1906,"Sweden","SE","Direct_Aggregate",19
1906,"Switzerland","CH","Direct_Resident",244082
1906,"Switzerland","CH","Direct_NonResident",1724
1906,"United Kingdom","GB","Direct_Aggregate",21212
1906,"United States of America","US","Direct_Aggregate",620
1907,"Australia","AU","Direct_Aggregate",91
1907,"Austria","AT","Direct_Aggregate",13012
1907,"Belgium","BE","Direct_Aggregate",241
1907,"Canada","CA","Direct_Aggregate",125
1907,"Denmark","DK","Direct_Aggregate",332
1907,"France","FR","Direct_Aggregate",56238
1907,"Germany","DE","Direct_Aggregate",220874
1907,"Hungary","HU","Direct_Aggregate",1445
1907,"Italy","IT","Direct_Aggregate",107
1907,"Japan","JP","Direct_Aggregate",677
1907,"Mexico","MX","Direct_Aggregate",55
1907,"New Zealand","NZ","Direct_Aggregate",57
1907,"Portugal","PT","Direct_Aggregate",27
1907,"Spain","ES","Direct_Aggregate",93
1907,"Sweden","SE","Direct_Aggregate",19
1907,"Switzerland","CH","Direct_Aggregate",272732
1907,"United Kingdom","GB","Direct_Aggregate",24039
1907,"United States of America","US","Direct_Aggregate",589
1908,"Australia","AU","Direct_Aggregate",184
1908,"Austria","AT","Direct_Aggregate",11980
1908,"Belgium","BE","Direct_Aggregate",303
1908,"Canada","CA","Direct_Aggregate",182
1908,"Denmark","DK","Direct_Aggregate",397
1908,"France","FR","Direct_Resident",54754
1908,"France","FR","Direct_NonResident",3729
1908,"Germany","DE","Direct_Aggregate",217750
1908,"Hungary","HU","Direct_Aggregate",12116
1908,"Italy","IT","Direct_Aggregate",91
1908,"Japan","JP","Direct_Aggregate",628
1908,"Mexico","MX","Direct_Aggregate",39
1908,"New Zealand","NZ","Direct_Aggregate",79
1908,"Portugal","PT","Direct_Aggregate",14
1908,"Spain","ES","Direct_Aggregate",104
1908,"Sweden","SE","Direct_Aggregate",38
1908,"Switzerland","CH","Direct_Resident",303843
1908,"Switzerland","CH","Direct_NonResident",1717
1908,"United Kingdom","GB","Direct_Aggregate",24389
1908,"United States of America","US","Direct_Aggregate",755
1909,"Australia","AU","Direct_Aggregate",166
1909,"Austria","AT","Direct_Aggregate",12241
1909,"Belgium","BE","Direct_Aggregate",316
1909,"Canada","CA","Direct_Aggregate",162
1909,"Cuba","CU","Direct_Aggregate",1
1909,"Denmark","DK","Direct_Aggregate",493
1909,"France","FR","Direct_Resident",59267
1909,"France","FR","Direct_NonResident",5901
1909,"Germany","DE","Direct_Aggregate",221991
1909,"Hungary","HU","Direct_Aggregate",1536
1909,"Italy","IT","Direct_Aggregate",85
1909,"Japan","JP","Direct_Aggregate",563
1909,"Mexico","MX","Direct_Aggregate",72
1909,"New Zealand","NZ","Direct_Aggregate",51
1909,"Portugal","PT","Direct_Aggregate",11
1909,"Spain","ES","Direct_Aggregate",95
1909,"Sweden","SE","Direct_Aggregate",20
1909,"Switzerland","CH","Direct_Resident",320107
1909,"Switzerland","CH","Direct_NonResident",1887
1909,"United Kingdom","GB","Direct_Aggregate",25754
1909,"United States of America","US","Direct_Aggregate",679
1910,"Australia","AU","Direct_Aggregate",163
1910,"Austria","AT","Direct_Aggregate",12451
1910,"Belgium","BE","Direct_Aggregate",340
1910,"Canada","CA","Direct_Aggregate",143
1910,"Denmark","DK","Direct_Aggregate",648
1910,"France","FR","Direct_Aggregate",52609
1910,"Germany","DE","Direct_Aggregate",206730
1910,"Hungary","HU","Direct_Aggregate",1287
1910,"Italy","IT","Direct_Aggregate",97
1910,"Japan","JP","Direct_Aggregate",609
1910,"Mexico","MX","Direct_Aggregate",69
1910,"New Zealand","NZ","Direct_Aggregate",46
1910,"Portugal","PT","Direct_Aggregate",17
1910,"Spain","ES","Direct_Aggregate",94
1910,"Sweden","SE","Direct_Aggregate",35
1910,"Switzerland","CH","Direct_Resident",305385
1910,"Switzerland","CH","Direct_NonResident",2599
1910,"United Kingdom","GB","Direct_Aggregate",32212
1910,"United States of America","US","Direct_Aggregate",636
1911,"Australia","AU","Direct_Aggregate",191
1911,"Austria","AT","Direct_Aggregate",12432
1911,"Belgium","BE","Direct_Aggregate",363
1911,"Canada","CA","Direct_Aggregate",118
1911,"Cuba","CU","Direct_Aggregate",3
1911,"Denmark","DK","Direct_Aggregate",529
1911,"France","FR","Direct_Aggregate",53854
1911,"Germany","DE","Direct_Aggregate",193861
1911,"Hungary","HU","Direct_Aggregate",926
1911,"Italy","IT","Direct_Resident",110
1911,"Italy","IT","Direct_NonResident",39
1911,"Japan","JP","Direct_Aggregate",886
1911,"Mexico","MX","Direct_Aggregate",68
1911,"New Zealand","NZ","Direct_Aggregate",21
1911,"Norway","NO","Direct_Aggregate",280
1911,"Portugal","PT","Direct_Aggregate",8
1911,"Spain","ES","Direct_Aggregate",112
1911,"Sweden","SE","Direct_Aggregate",30
1911,"Switzerland","CH","Direct_Aggregate",341597
1911,"Tunisia","TN","Direct_Aggregate",28
1911,"United Kingdom","GB","Direct_Aggregate",41581
1911,"United States of America","US","Direct_Aggregate",1004
1912,"Australia","AU","Direct_Aggregate",193
1912,"Austria","AT","Direct_Aggregate",12638
1912,"Belgium","BE","Direct_Aggregate",404
1912,"Canada","CA","Direct_Aggregate",149
1912,"Denmark","DK","Direct_Aggregate",884
1912,"France","FR","Direct_Aggregate",55884
1912,"Germany","DE","Direct_Aggregate",174966
1912,"Hungary","HU","Direct_Aggregate",12896
1912,"Italy","IT","Direct_Resident",148
1912,"Italy","IT","Direct_NonResident",48
1912,"Japan","JP","Direct_Aggregate",845
1912,"Mexico","MX","Direct_Aggregate",24
1912,"New Zealand","NZ","Direct_Aggregate",41
1912,"Norway","NO","Direct_Aggregate",225
1912,"Portugal","PT","Direct_Aggregate",32
1912,"Spain","ES","Direct_Aggregate",116
1912,"Sweden","SE","Direct_Aggregate",23
1912,"Switzerland","CH","Direct_Resident",339569
1912,"Switzerland","CH","Direct_NonResident",2953
1912,"Tunisia","TN","Direct_Aggregate",34
1912,"United Kingdom","GB","Direct_Aggregate",42077
1912,"United States of America","US","Direct_Aggregate",1341
1913,"Australia","AU","Direct_Aggregate",268
1913,"Austria","AT","Direct_Aggregate",13269
1913,"Belgium","BE","Direct_Aggregate",394
1913,"Canada","CA","Direct_Aggregate",128
1913,"Denmark","DK","Direct_Aggregate",812
1913,"France","FR","Direct_Aggregate",53713
1913,"Germany","DE","Direct_Aggregate",183426
1913,"Hungary","HU","Direct_Aggregate",13158
1913,"Italy","IT","Direct_Resident",123
1913,"Italy","IT","Direct_NonResident",47
1913,"Japan","JP","Direct_Aggregate",1207
1913,"New Zealand","NZ","Direct_Aggregate",56
1913,"Norway","NO","Direct_Aggregate",242
1913,"Portugal","PT","Direct_Aggregate",38
1913,"Spain","ES","Direct_Aggregate",205
1913,"Sweden","SE","Direct_Aggregate",12
1913,"Switzerland","CH","Direct_Resident",473102
1913,"Switzerland","CH","Direct_NonResident",10443
1913,"Tunisia","TN","Direct_Aggregate",47
1913,"United Kingdom","GB","Direct_Aggregate",39275
1913,"United States of America","US","Direct_Aggregate",1677
1914,"Australia","AU","Direct_Aggregate",220
1914,"Austria","AT","Direct_Aggregate",11004
1914,"Belgium","BE","Direct_Aggregate",421
1914,"Canada","CA","Direct_Aggregate",165
1914,"Cuba","CU","Direct_Aggregate",5
1914,"Denmark","DK","Direct_Aggregate",609
1914,"France","FR","Direct_Aggregate",31521
1914,"Germany","DE","Direct_Aggregate",131755
1914,"Hungary","HU","Direct_Aggregate",10898
1914,"Italy","IT","Direct_Resident",107
1914,"Italy","IT","Direct_NonResident",43
1914,"Japan","JP","Direct_Aggregate",2037
1914,"New Zealand","NZ","Direct_Aggregate",46
1914,"Norway","NO","Direct_Aggregate",252
1914,"Portugal","PT","Direct_Aggregate",27
1914,"Spain","ES","Direct_Aggregate",200
1914,"Sweden","SE","Direct_Aggregate",32
1914,"Switzerland","CH","Direct_Resident",414737
1914,"Switzerland","CH","Direct_NonResident",8316
1914,"Tunisia","TN","Direct_Aggregate",9
1914,"United Kingdom","GB","Direct_Aggregate",33362
1914,"United States of America","US","Direct_Aggregate",1711
1915,"Australia","AU","Direct_Aggregate",268
1915,"Austria","AT","Direct_Aggregate",4421
1915,"Belgium","BE","Direct_Aggregate",188
1915,"Canada","CA","Direct_Aggregate",224
1915,"Denmark","DK","Direct_Aggregate",891
1915,"France","FR","Direct_Aggregate",10013
1915,"Hungary","HU","Direct_Aggregate",4567
1915,"Italy","IT","Direct_Resident",207
1915,"Italy","IT","Direct_NonResident",19
1915,"Japan","JP","Direct_Aggregate",1663
1915,"Mexico","MX","Direct_Aggregate",6
1915,"New Zealand","NZ","Direct_Aggregate",75
1915,"Norway","NO","Direct_Aggregate",269
1915,"Portugal","PT","Direct_Aggregate",4
1915,"Spain","ES","Direct_Aggregate",125
1915,"Sweden","SE","Direct_Aggregate",36
1915,"Switzerland","CH","Direct_Resident",350189
1915,"Switzerland","CH","Direct_NonResident",497
1915,"Tunisia","TN","Direct_Resident",2
1915,"United Kingdom","GB","Direct_Aggregate",17390
1915,"United States of America","US","Direct_Aggregate",1538
1916,"Australia","AU","Direct_Aggregate",253
1916,"Austria","AT","Direct_Aggregate",3307
1916,"Belgium","BE","Direct_Aggregate",144
1916,"Canada","CA","Direct_Aggregate",200
1916,"Denmark","DK","Direct_Aggregate",369
1916,"France","FR","Direct_Aggregate",11896
1916,"Germany","DE","Direct_Aggregate",29981
1916,"Hungary","HU","Direct_Aggregate",3364
1916,"Italy","IT","Direct_Resident",48
1916,"Italy","IT","Direct_NonResident",12
1916,"Japan","JP","Direct_Aggregate",1479
1916,"Mexico","MX","Direct_Aggregate",18
1916,"New Zealand","NZ","Direct_Aggregate",84
1916,"Norway","NO","Direct_Aggregate",150
1916,"Portugal","PT","Direct_Aggregate",96
1916,"Spain","ES","Direct_Aggregate",206
1916,"Sweden","SE","Direct_Aggregate",40
1916,"Switzerland","CH","Direct_Resident",397078
1916,"Switzerland","CH","Direct_NonResident",93
1916,"Tunisia","TN","Direct_Aggregate",5
1916,"United Kingdom","GB","Direct_Aggregate",14766
1916,"United States of America","US","Direct_Aggregate",1745
1917,"Australia","AU","Direct_Aggregate",235
1917,"Austria","AT","Direct_Aggregate",2303
1917,"Belgium","BE","Direct_Aggregate",135
1917,"Canada","CA","Direct_Aggregate",196
1917,"Denmark","DK","Direct_Aggregate",632
1917,"France","FR","Direct_Aggregate",9631
1917,"Germany","DE","Direct_Aggregate",10327
1917,"Hungary","HU","Direct_Aggregate",2470
1917,"Italy","IT","Direct_Resident",27
1917,"Italy","IT","Direct_NonResident",7
1917,"Japan","JP","Direct_Aggregate",867
1917,"Mexico","MX","Direct_Aggregate",31
1917,"New Zealand","NZ","Direct_Aggregate",71
1917,"Norway","NO","Direct_Aggregate",197
1917,"Portugal","PT","Direct_Aggregate",79
1917,"Spain","ES","Direct_Aggregate",180
1917,"Sweden","SE","Direct_Aggregate",15
1917,"Switzerland","CH","Direct_Resident",250616
1917,"Switzerland","CH","Direct_NonResident",34
1917,"Tunisia","TN","Direct_Aggregate",7
1917,"United Kingdom","GB","Direct_Aggregate",12729
1917,"United States of America","US","Direct_Aggregate",1505
1918,"Australia","AU","Direct_Aggregate",223
1918,"Austria","AT","Direct_Aggregate",2076
1918,"Belgium","BE","Direct_Aggregate",62
1918,"Canada","CA","Direct_Aggregate",177
1918,"Cuba","CU","Direct_Aggregate",1
1918,"Denmark","DK","Direct_Aggregate",954
1918,"France","FR","Direct_Aggregate",6535
1918,"Germany","DE","Direct_Aggregate",7650
1918,"Hungary","HU","Direct_Aggregate",1926
1918,"Italy","IT","Direct_Resident",81
1918,"Italy","IT","Direct_NonResident",9
1918,"Japan","JP","Direct_Aggregate",1169
1918,"Mexico","MX","Direct_Aggregate",36
1918,"New Zealand","NZ","Direct_Aggregate",53
1918,"Norway","NO","Direct_Aggregate",302
1918,"Portugal","PT","Direct_Aggregate",51
1918,"Spain","ES","Direct_Aggregate",171
1918,"Sweden","SE","Direct_Aggregate",30
1918,"Switzerland","CH","Direct_Resident",178126
1918,"Switzerland","CH","Direct_NonResident",194
1918,"Tunisia","TN","Direct_Aggregate",9
1918,"United Kingdom","GB","Direct_Aggregate",9597
1918,"United States of America","US","Direct_Aggregate",1206
1919,"Australia","AU","Direct_Aggregate",199
1919,"Austria","AT","Direct_Aggregate",1876
1919,"Belgium","BE","Direct_Aggregate",206
1919,"Canada","CA","Direct_Aggregate",169
1919,"Czechoslovakia","CS","Direct_Aggregate",928
1919,"Denmark","DK","Direct_Aggregate",637
1919,"France","FR","Direct_Aggregate",13493
1919,"Germany","DE","Direct_Aggregate",16195
1919,"Hungary","HU","Direct_Aggregate",102
1919,"Italy","IT","Direct_Resident",71
1919,"Italy","IT","Direct_NonResident",13
1919,"Japan","JP","Direct_Aggregate",1421
1919,"Mexico","MX","Direct_Aggregate",49
1919,"Morocco","MA","Direct_Aggregate",3
1919,"Norway","NO","Direct_Aggregate",279
1919,"Portugal","PT","Direct_Aggregate",30
1919,"Spain","ES","Direct_Aggregate",199
1919,"Sweden","SE","Direct_Aggregate",28
1919,"Switzerland","CH","Direct_Resident",181444
1919,"Switzerland","CH","Direct_NonResident",135
1919,"Tunisia","TN","Direct_Aggregate",3
1919,"United Kingdom","GB","Direct_Aggregate",13049
1919,"United States of America","US","Direct_Aggregate",1521
1920,"Australia","AU","Direct_Aggregate",233
1920,"Austria","AT","Direct_Aggregate",2130
1920,"Belgium","BE","Direct_Aggregate",349
1920,"Canada","CA","Direct_Aggregate",186
1920,"Czechoslovakia","CS","Direct_Aggregate",1519
1920,"Denmark","DK","Direct_Aggregate",729
1920,"France","FR","Direct_Aggregate",2208
1920,"Germany","DE","Direct_Aggregate",24975
1920,"Hungary","HU","Direct_Aggregate",448
1920,"Italy","IT","Direct_Resident",130
1920,"Italy","IT","Direct_NonResident",26
1920,"Japan","JP","Direct_Aggregate",1307
