//Solicitudes de registro de diseños industriales por oficina,
"//por directamente por residentes, directamente por no residentes y sistema de La Haya",
//Fuente:  Base de datos de estadísticas de la OMPI, diciembre 2011
//Nota: Es probable que falten datos relativos a algunas oficinas o respecto de ciertos períodos.,

Año,Nombre'Oficina,Código'Oficina,Tipo de solicitante,Número de solicitudes
1903,"Austria","AT","Directamente total",15942
1903,"Bélgica","BE","Directamente total",215
1903,"Canadá","CA","Directamente total",98
1903,"Francia","FR","Directamente_residentes",61766
1903,"Francia","FR","Directamente_NOresidentes",1541
1903,"Alemania","DE","Directamente total",171461
1903,"Hungría","HU","Directamente total",1405
1903,"Italia","IT","Directamente total",129
1903,"Japón","JP","Directamente total",1181
1903,"México","MX","Directamente total",4
1903,"Nueva Zelandia","NZ","Directamente total",26
1903,"Portugal","PT","Directamente total",39
1903,"España","ES","Directamente total",205
1903,"Suecia","SE","Directamente total",34
1903,"Suiza","CH","Directamente total",226933
1903,"Túnez","TN","Directamente total",1
1903,"Reino Unido","GB","Directamente total",21104
1903,"Estados Unidos de América","US","Directamente total",770
1904,"Austria","AT","Directamente total",17113
1904,"Bélgica","BE","Directamente total",210
1904,"Canadá","CA","Directamente total",156
1904,"Cuba","CU","Directamente total",6
1904,"Francia","FR","Directamente_residentes",61283
1904,"Francia","FR","Directamente_NOresidentes",2904
1904,"Alemania","DE","Directamente total",192352
1904,"Hungría","HU","Directamente total",1191
1904,"Italia","IT","Directamente total",51
1904,"Japón","JP","Directamente total",1378
1904,"México","MX","Directamente total",22
1904,"Nueva Zelandia","NZ","Directamente total",24
1904,"Portugal","PT","Directamente total",36
1904,"España","ES","Directamente total",189
1904,"Suecia","SE","Directamente total",32
1904,"Suiza","CH","Directamente total",254256
1904,"Reino Unido","GB","Directamente total",23531
1904,"Estados Unidos de América","US","Directamente total",818
1905,"Austria","AT","Directamente total",14973
1905,"Bélgica","BE","Directamente total",351
1905,"Dinamarca","DK","Directamente total",601
1905,"Francia","FR","Directamente total",51200
1905,"Alemania","DE","Directamente total",211398
1905,"Hungría","HU","Directamente total",1245
1905,"Italia","IT","Directamente total",98
1905,"Japón","JP","Directamente total",1562
1905,"México","MX","Directamente total",65
1905,"Nueva Zelandia","NZ","Directamente total",54
1905,"Portugal","PT","Directamente total",29
1905,"España","ES","Directamente total",177
1905,"Suecia","SE","Directamente total",20
1905,"Suiza","CH","Directamente total",243107
1905,"Reino Unido","GB","Directamente total",23938
1905,"Estados Unidos de América","US","Directamente total",781
1906,"Austria","AT","Directamente total",14912
1906,"Bélgica","BE","Directamente total",222
1906,"Dinamarca","DK","Directamente total",411
1906,"Francia","FR","Directamente_residentes",48859
1906,"Francia","FR","Directamente_NOresidentes",3564
1906,"Alemania","DE","Directamente total",213304
1906,"Hungría","HU","Directamente total",2051
1906,"Italia","IT","Directamente total",115
1906,"Japón","JP","Directamente total",1532
1906,"México","MX","Directamente total",31
1906,"Nueva Zelandia","NZ","Directamente total",36
1906,"Portugal","PT","Directamente total",40
1906,"España","ES","Directamente total",254
1906,"Suecia","SE","Directamente total",22
1906,"Suiza","CH","Directamente total",245840
1906,"Reino Unido","GB","Directamente total",22001
1906,"Estados Unidos de América","US","Directamente total",806
1907,"Australia","AU","Directamente total",176
1907,"Austria","AT","Directamente total",13012
1907,"Bélgica","BE","Directamente total",241
1907,"Dinamarca","DK","Directamente total",346
1907,"Francia","FR","Directamente total",56238
1907,"Alemania","DE","Directamente total",220874
1907,"Hungría","HU","Directamente total",1445
1907,"Italia","IT","Directamente total",115
1907,"Japón","JP","Directamente total",1438
1907,"México","MX","Directamente total",56
1907,"Nueva Zelandia","NZ","Directamente total",57
1907,"Portugal","PT","Directamente total",33
1907,"España","ES","Directamente total",196
1907,"Suecia","SE","Directamente total",30
1907,"Suiza","CH","Directamente total",272773
1907,"Reino Unido","GB","Directamente total",24928
1907,"Estados Unidos de América","US","Directamente total",896
1908,"Australia","AU","Directamente total",154
1908,"Austria","AT","Directamente total",11980
1908,"Bélgica","BE","Directamente total",303
1908,"Dinamarca","DK","Directamente total",415
1908,"Francia","FR","Directamente_residentes",54754
1908,"Francia","FR","Directamente_NOresidentes",3729
1908,"Alemania","DE","Directamente total",217750
1908,"Hungría","HU","Directamente total",12116
1908,"Italia","IT","Directamente total",83
1908,"Japón","JP","Directamente total",1623
1908,"México","MX","Directamente total",40
1908,"Nueva Zelandia","NZ","Directamente total",79
1908,"Portugal","PT","Directamente total",22
1908,"España","ES","Directamente total",204
1908,"Suecia","SE","Directamente total",47
1908,"Suiza","CH","Directamente total",305577
1908,"Reino Unido","GB","Directamente total",24907
1908,"Estados Unidos de América","US","Directamente total",1131
1909,"Australia","AU","Directamente total",186
1909,"Austria","AT","Directamente total",12241
1909,"Bélgica","BE","Directamente total",316
1909,"Cuba","CU","Directamente total",1
1909,"Dinamarca","DK","Directamente total",505
1909,"Francia","FR","Directamente_residentes",59267
1909,"Francia","FR","Directamente_NOresidentes",5901
1909,"Alemania","DE","Directamente total",221991
1909,"Hungría","HU","Directamente total",1536
1909,"Italia","IT","Directamente total",100
1909,"Japón","JP","Directamente total",1718
1909,"México","MX","Directamente total",75
1909,"Nueva Zelandia","NZ","Directamente total",57
1909,"Portugal","PT","Directamente total",21
1909,"España","ES","Directamente total",176
1909,"Suecia","SE","Directamente total",25
1909,"Suiza","CH","Directamente total",322046
1909,"Reino Unido","GB","Directamente total",26412
1909,"Estados Unidos de América","US","Directamente total",1234
1910,"Australia","AU","Directamente total",187
1910,"Austria","AT","Directamente total",12451
1910,"Bélgica","BE","Directamente total",340
1910,"Dinamarca","DK","Directamente total",659
1910,"Francia","FR","Directamente_residentes",50421
1910,"Francia","FR","Directamente_NOresidentes",2188
1910,"Alemania","DE","Directamente total",206730
1910,"Hungría","HU","Directamente total",1287
1910,"Italia","IT","Directamente total",111
1910,"Japón","JP","Directamente total",2240
1910,"México","MX","Directamente total",73
1910,"Nueva Zelandia","NZ","Directamente total",50
1910,"Portugal","PT","Directamente total",29
1910,"España","ES","Directamente total",183
1910,"Suecia","SE","Directamente total",41
1910,"Suiza","CH","Directamente total",309752
1910,"Reino Unido","GB","Directamente total",32745
