//Registros de diseños industriales por oficina,
"//por directamente por residentes, directamente por no residentes y sistema de La Haya",
//Fuente:  Base de datos de estadísticas de la OMPI, diciembre 2011
//Nota: Es probable que falten datos relativos a algunas oficinas o respecto de ciertos períodos.,

Año,Nombre'Oficina,Código'Oficina,Tipo'solicitante,Número de registros
1916,"Portugal","PT","Directamente total",96
1916,"España","ES","Directamente total",206
1916,"Suecia","SE","Directamente total",40
1916,"Suiza","CH","Directamente_residentes",397078
1916,"Suiza","CH","Directamente_NOresidentes",93
1916,"Túnez","TN","Directamente total",5
1916,"Reino Unido","GB","Directamente total",14766
1916,"Estados Unidos de América","US","Directamente total",1745
1917,"Australia","AU","Directamente total",235
1917,"Austria","AT","Directamente total",2303
1917,"Bélgica","BE","Directamente total",135
1917,"Canadá","CA","Directamente total",196
1917,"Dinamarca","DK","Directamente total",632
1917,"Francia","FR","Directamente total",9631
1917,"Alemania","DE","Directamente total",10327
1917,"Hungría","HU","Directamente total",2470
1917,"Italia","IT","Directamente_residentes",27
1917,"Italia","IT","Directamente_NOresidentes",7
1917,"Japón","JP","Directamente total",867
1917,"México","MX","Directamente total",31
1917,"Nueva Zelandia","NZ","Directamente total",71
1917,"Noruega","NO","Directamente total",197
1917,"Portugal","PT","Directamente total",79
1917,"España","ES","Directamente total",180
1917,"Suecia","SE","Directamente total",15
1917,"Suiza","CH","Directamente_residentes",250616
1917,"Suiza","CH","Directamente_NOresidentes",34
1917,"Túnez","TN","Directamente total",7
1917,"Reino Unido","GB","Directamente total",12729
1917,"Estados Unidos de América","US","Directamente total",1505
1918,"Australia","AU","Directamente total",223
1918,"Austria","AT","Directamente total",2076
1918,"Bélgica","BE","Directamente total",62
1918,"Canadá","CA","Directamente total",177
1918,"Cuba","CU","Directamente total",1
1918,"Dinamarca","DK","Directamente total",954
1918,"Francia","FR","Directamente total",6535
1918,"Alemania","DE","Directamente total",7650
1918,"Hungría","HU","Directamente total",1926
1918,"Italia","IT","Directamente_residentes",81
1918,"Italia","IT","Directamente_NOresidentes",9
1918,"Japón","JP","Directamente total",1169
1918,"México","MX","Directamente total",36
1918,"Nueva Zelandia","NZ","Directamente total",53
1918,"Noruega","NO","Directamente total",302
1918,"Portugal","PT","Directamente total",51
1918,"España","ES","Directamente total",171
1918,"Suecia","SE","Directamente total",30
1918,"Suiza","CH","Directamente_residentes",178126
1918,"Suiza","CH","Directamente_NOresidentes",194
1918,"Túnez","TN","Directamente total",9
1918,"Reino Unido","GB","Directamente total",9597
1918,"Estados Unidos de América","US","Directamente total",1206
1919,"Australia","AU","Directamente total",199
1919,"Austria","AT","Directamente total",1876
1919,"Bélgica","BE","Directamente total",206
1919,"Canadá","CA","Directamente total",169
1919,"Checoslovaquia","CS","Directamente total",928
1919,"Dinamarca","DK","Directamente total",637
1919,"Francia","FR","Directamente total",13493
